27/06/2024 00:27:39 - 0000:	 - train_loss: 0.999628:	 - test_loss: 2.124798:	 mIoU 0.0003
27/06/2024 07:01:46 - 0131:	 - train_loss: 1.237584:	 - test_loss: 1.205966:	 mIoU 0.0008
27/06/2024 07:04:50 - 0132:	 - train_loss: 1.232260:	 - test_loss: 1.205277:	 mIoU 0.0009
27/06/2024 07:07:47 - 0133:	 - train_loss: 1.223622:	 - test_loss: 1.200064:	 mIoU 0.0997
27/06/2024 07:10:47 - 0134:	 - train_loss: 1.214734:	 - test_loss: 1.207294:	 mIoU 0.2091
27/06/2024 07:16:51 - 0136:	 - train_loss: 1.195513:	 - test_loss: 1.124162:	 mIoU 0.2354
27/06/2024 07:22:54 - 0138:	 - train_loss: 1.188501:	 - test_loss: 1.137297:	 mIoU 0.2427
27/06/2024 07:28:51 - 0140:	 - train_loss: 1.180679:	 - test_loss: 1.112253:	 mIoU 0.2548
27/06/2024 07:31:56 - 0141:	 - train_loss: 1.178891:	 - test_loss: 1.097723:	 mIoU 0.2593
27/06/2024 07:37:52 - 0143:	 - train_loss: 1.178118:	 - test_loss: 1.111696:	 mIoU 0.2622
27/06/2024 07:43:55 - 0145:	 - train_loss: 1.172000:	 - test_loss: 1.095827:	 mIoU 0.2761
27/06/2024 07:52:58 - 0148:	 - train_loss: 1.165466:	 - test_loss: 1.080873:	 mIoU 0.2902
27/06/2024 07:58:59 - 0150:	 - train_loss: 1.166061:	 - test_loss: 1.072308:	 mIoU 0.2950
27/06/2024 08:01:59 - 0151:	 - train_loss: 1.161659:	 - test_loss: 1.065750:	 mIoU 0.2979
27/06/2024 08:07:59 - 0153:	 - train_loss: 1.157955:	 - test_loss: 1.053336:	 mIoU 0.3187
27/06/2024 08:10:59 - 0154:	 - train_loss: 1.153346:	 - test_loss: 1.039317:	 mIoU 0.3224
27/06/2024 08:13:55 - 0155:	 - train_loss: 1.159685:	 - test_loss: 1.049097:	 mIoU 0.3269
27/06/2024 08:22:55 - 0158:	 - train_loss: 1.148181:	 - test_loss: 1.027772:	 mIoU 0.3406
27/06/2024 08:31:56 - 0161:	 - train_loss: 1.143305:	 - test_loss: 1.011007:	 mIoU 0.3620
27/06/2024 08:40:59 - 0164:	 - train_loss: 1.141141:	 - test_loss: 1.019663:	 mIoU 0.3622
27/06/2024 08:47:04 - 0166:	 - train_loss: 1.140798:	 - test_loss: 1.003758:	 mIoU 0.3711
27/06/2024 08:53:04 - 0168:	 - train_loss: 1.137928:	 - test_loss: 1.007610:	 mIoU 0.3735
27/06/2024 08:56:04 - 0169:	 - train_loss: 1.134738:	 - test_loss: 0.987925:	 mIoU 0.3806
27/06/2024 08:58:59 - 0170:	 - train_loss: 1.131979:	 - test_loss: 0.987583:	 mIoU 0.3838
27/06/2024 09:11:06 - 0174:	 - train_loss: 1.132450:	 - test_loss: 0.977180:	 mIoU 0.3884
27/06/2024 09:32:08 - 0181:	 - train_loss: 1.126906:	 - test_loss: 0.973813:	 mIoU 0.3969
27/06/2024 09:54:46 - 0189:	 - train_loss: 1.118481:	 - test_loss: 0.958143:	 mIoU 0.4109
27/06/2024 09:57:31 - 0190:	 - train_loss: 1.120695:	 - test_loss: 0.954968:	 mIoU 0.4149
27/06/2024 10:42:47 - 0206:	 - train_loss: 1.117725:	 - test_loss: 0.952350:	 mIoU 0.4313
27/06/2024 11:25:45 - 0221:	 - train_loss: 1.109308:	 - test_loss: 0.942104:	 mIoU 0.4379
27/06/2024 11:28:25 - 0222:	 - train_loss: 1.103908:	 - test_loss: 0.936176:	 mIoU 0.4402
27/06/2024 12:21:19 - 0240:	 - train_loss: 1.105329:	 - test_loss: 0.931322:	 mIoU 0.4432
27/06/2024 12:29:54 - 0243:	 - train_loss: 1.094078:	 - test_loss: 0.928898:	 mIoU 0.4444
27/06/2024 12:43:50 - 0248:	 - train_loss: 1.096536:	 - test_loss: 0.931715:	 mIoU 0.4467
27/06/2024 13:00:39 - 0254:	 - train_loss: 1.100953:	 - test_loss: 0.926520:	 mIoU 0.4502
27/06/2024 13:25:55 - 0263:	 - train_loss: 1.093890:	 - test_loss: 0.937317:	 mIoU 0.4507
27/06/2024 13:31:31 - 0265:	 - train_loss: 1.096828:	 - test_loss: 0.929816:	 mIoU 0.4550
27/06/2024 13:48:30 - 0271:	 - train_loss: 1.094811:	 - test_loss: 0.922873:	 mIoU 0.4590
27/06/2024 13:56:50 - 0274:	 - train_loss: 1.094617:	 - test_loss: 0.919386:	 mIoU 0.4595
27/06/2024 14:05:24 - 0277:	 - train_loss: 1.092056:	 - test_loss: 0.922417:	 mIoU 0.4616
27/06/2024 15:12:53 - 0301:	 - train_loss: 1.086413:	 - test_loss: 0.916556:	 mIoU 0.4625
27/06/2024 17:36:26 - 0349:	 - train_loss: 1.087196:	 - test_loss: 0.912072:	 mIoU 0.4682
27/06/2024 18:10:37 - 0361:	 - train_loss: 1.084276:	 - test_loss: 0.911796:	 mIoU 0.4708
