28/06/2024 16:13:26 - 0000:	 - train_loss: 0.999536:	 - test_loss: 0.999397:	 mIoU 0.0006
28/06/2024 16:14:21 - 0001:	 - train_loss: 0.999477:	 - test_loss: 0.999380:	 mIoU 0.0006
28/06/2024 16:15:15 - 0002:	 - train_loss: 0.999461:	 - test_loss: 0.999374:	 mIoU 0.0006
28/06/2024 16:16:10 - 0003:	 - train_loss: 0.999455:	 - test_loss: 0.999367:	 mIoU 0.0006
28/06/2024 16:17:13 - 0004:	 - train_loss: 0.999427:	 - test_loss: 0.999315:	 mIoU 0.0007
28/06/2024 16:18:10 - 0005:	 - train_loss: 0.999316:	 - test_loss: 0.999227:	 mIoU 0.0008
28/06/2024 16:19:07 - 0006:	 - train_loss: 0.999341:	 - test_loss: 0.999221:	 mIoU 0.0008
28/06/2024 16:20:04 - 0007:	 - train_loss: 0.999304:	 - test_loss: 0.999215:	 mIoU 0.0008
28/06/2024 16:21:15 - 0008:	 - train_loss: 0.999279:	 - test_loss: 0.999136:	 mIoU 0.0009
28/06/2024 16:22:14 - 0009:	 - train_loss: 0.998922:	 - test_loss: 0.998738:	 mIoU 0.0013
28/06/2024 16:24:01 - 0011:	 - train_loss: 0.998916:	 - test_loss: 0.998727:	 mIoU 0.0013
28/06/2024 16:24:56 - 0012:	 - train_loss: 0.998889:	 - test_loss: 0.998723:	 mIoU 0.0013
28/06/2024 16:26:51 - 0014:	 - train_loss: 0.998920:	 - test_loss: 0.998719:	 mIoU 0.0013
28/06/2024 16:30:32 - 0017:	 - train_loss: 0.998893:	 - test_loss: 0.998716:	 mIoU 0.0013
28/06/2024 16:31:55 - 0018:	 - train_loss: 0.998856:	 - test_loss: 0.998713:	 mIoU 0.0013
28/06/2024 16:34:54 - 0020:	 - train_loss: 0.998901:	 - test_loss: 0.998709:	 mIoU 0.0013
28/06/2024 16:45:02 - 0028:	 - train_loss: 0.998819:	 - test_loss: 0.998704:	 mIoU 0.0013
28/06/2024 16:46:18 - 0029:	 - train_loss: 0.998858:	 - test_loss: 0.998704:	 mIoU 0.0013
28/06/2024 16:47:35 - 0030:	 - train_loss: 0.998890:	 - test_loss: 0.998702:	 mIoU 0.0013
28/06/2024 16:50:08 - 0032:	 - train_loss: 0.998863:	 - test_loss: 0.998702:	 mIoU 0.0013
28/06/2024 16:51:26 - 0033:	 - train_loss: 0.998870:	 - test_loss: 0.998698:	 mIoU 0.0013
28/06/2024 17:07:06 - 0045:	 - train_loss: 0.998911:	 - test_loss: 0.998695:	 mIoU 0.0013
28/06/2024 17:08:27 - 0046:	 - train_loss: 0.998812:	 - test_loss: 0.998692:	 mIoU 0.0013
28/06/2024 17:28:25 - 0061:	 - train_loss: 0.998833:	 - test_loss: 0.998692:	 mIoU 0.0013
28/06/2024 17:29:23 - 0062:	 - train_loss: 0.998823:	 - test_loss: 0.998690:	 mIoU 0.0013
28/06/2024 17:32:17 - 0065:	 - train_loss: 0.998850:	 - test_loss: 0.998688:	 mIoU 0.0013
28/06/2024 17:33:13 - 0066:	 - train_loss: 0.998708:	 - test_loss: 0.998237:	 mIoU 0.0018
28/06/2024 17:36:08 - 0069:	 - train_loss: 0.998448:	 - test_loss: 0.998233:	 mIoU 0.0018
28/06/2024 17:41:01 - 0074:	 - train_loss: 0.998447:	 - test_loss: 0.998228:	 mIoU 0.0018
28/06/2024 17:53:07 - 0084:	 - train_loss: 0.998426:	 - test_loss: 0.998228:	 mIoU 0.0018
28/06/2024 18:08:18 - 0096:	 - train_loss: 0.998442:	 - test_loss: 0.998227:	 mIoU 0.0018
28/06/2024 18:17:07 - 0103:	 - train_loss: 0.998418:	 - test_loss: 0.998222:	 mIoU 0.0018
