26/06/2024 15:34:10 - 0000:	 - train_loss: 0.959408:	 - test_loss: 2.131335:	 mIoU 0.0190
26/06/2024 15:55:42 - 0003:	 - train_loss: 1.244031:	 - test_loss: 1.130785:	 mIoU 0.2367
26/06/2024 15:59:22 - 0004:	 - train_loss: 1.144210:	 - test_loss: 1.033869:	 mIoU 0.3337
26/06/2024 16:03:14 - 0005:	 - train_loss: 1.092624:	 - test_loss: 1.027687:	 mIoU 0.3465
26/06/2024 16:11:01 - 0006:	 - train_loss: 1.080106:	 - test_loss: 0.998028:	 mIoU 0.3754
26/06/2024 16:27:28 - 0008:	 - train_loss: 1.049593:	 - test_loss: 0.966102:	 mIoU 0.3860
26/06/2024 16:35:05 - 0009:	 - train_loss: 1.045139:	 - test_loss: 0.970431:	 mIoU 0.3926
26/06/2024 16:50:13 - 0011:	 - train_loss: 1.026342:	 - test_loss: 0.944081:	 mIoU 0.4185
26/06/2024 17:20:22 - 0015:	 - train_loss: 1.010037:	 - test_loss: 0.938141:	 mIoU 0.4231
26/06/2024 17:28:00 - 0016:	 - train_loss: 1.008337:	 - test_loss: 0.948067:	 mIoU 0.4383
26/06/2024 17:44:32 - 0018:	 - train_loss: 1.002887:	 - test_loss: 0.922441:	 mIoU 0.4576
26/06/2024 18:00:09 - 0020:	 - train_loss: 0.994398:	 - test_loss: 0.915929:	 mIoU 0.4581
26/06/2024 18:15:09 - 0022:	 - train_loss: 0.992364:	 - test_loss: 0.900154:	 mIoU 0.4654
26/06/2024 18:34:46 - 0025:	 - train_loss: 0.992480:	 - test_loss: 0.895351:	 mIoU 0.4704
26/06/2024 19:02:49 - 0030:	 - train_loss: 0.986769:	 - test_loss: 0.902521:	 mIoU 0.4798
26/06/2024 20:02:42 - 0038:	 - train_loss: 0.974507:	 - test_loss: 0.894684:	 mIoU 0.4837
26/06/2024 20:10:18 - 0039:	 - train_loss: 0.975961:	 - test_loss: 0.896925:	 mIoU 0.4902
26/06/2024 21:16:25 - 0047:	 - train_loss: 0.963457:	 - test_loss: 0.886764:	 mIoU 0.4991
26/06/2024 22:06:13 - 0053:	 - train_loss: 0.959815:	 - test_loss: 0.875704:	 mIoU 0.5072
26/06/2024 22:22:41 - 0055:	 - train_loss: 0.952737:	 - test_loss: 0.873885:	 mIoU 0.5095
26/06/2024 22:59:38 - 0061:	 - train_loss: 0.950565:	 - test_loss: 0.859803:	 mIoU 0.5166
26/06/2024 23:32:11 - 0070:	 - train_loss: 0.949207:	 - test_loss: 0.860736:	 mIoU 0.5171
26/06/2024 23:35:48 - 0071:	 - train_loss: 0.955272:	 - test_loss: 0.862282:	 mIoU 0.5225
26/06/2024 23:39:25 - 0072:	 - train_loss: 0.947163:	 - test_loss: 0.855840:	 mIoU 0.5276
27/06/2024 00:15:48 - 0082:	 - train_loss: 0.950758:	 - test_loss: 0.854643:	 mIoU 0.5388
27/06/2024 00:55:18 - 0091:	 - train_loss: 0.941946:	 - test_loss: 0.851181:	 mIoU 0.5399
27/06/2024 02:07:11 - 0107:	 - train_loss: 0.936266:	 - test_loss: 0.850606:	 mIoU 0.5479
27/06/2024 02:38:42 - 0114:	 - train_loss: 0.931776:	 - test_loss: 0.851773:	 mIoU 0.5489
27/06/2024 02:52:13 - 0117:	 - train_loss: 0.928160:	 - test_loss: 0.846800:	 mIoU 0.5500
27/06/2024 03:46:16 - 0129:	 - train_loss: 0.931571:	 - test_loss: 0.846019:	 mIoU 0.5531
27/06/2024 03:55:18 - 0131:	 - train_loss: 0.933679:	 - test_loss: 0.843703:	 mIoU 0.5543
27/06/2024 05:11:43 - 0148:	 - train_loss: 0.921163:	 - test_loss: 0.842681:	 mIoU 0.5547
27/06/2024 05:52:08 - 0157:	 - train_loss: 0.931496:	 - test_loss: 0.843692:	 mIoU 0.5558
27/06/2024 06:23:15 - 0164:	 - train_loss: 0.922373:	 - test_loss: 0.847611:	 mIoU 0.5567
27/06/2024 06:36:43 - 0167:	 - train_loss: 0.926159:	 - test_loss: 0.840949:	 mIoU 0.5581
27/06/2024 07:17:02 - 0176:	 - train_loss: 0.919701:	 - test_loss: 0.837798:	 mIoU 0.5593
27/06/2024 07:39:31 - 0181:	 - train_loss: 0.916939:	 - test_loss: 0.835339:	 mIoU 0.5637
27/06/2024 08:42:34 - 0195:	 - train_loss: 0.919072:	 - test_loss: 0.834296:	 mIoU 0.5682
27/06/2024 08:56:06 - 0198:	 - train_loss: 0.914522:	 - test_loss: 0.834884:	 mIoU 0.5727
27/06/2024 10:57:12 - 0222:	 - train_loss: 0.916079:	 - test_loss: 0.832946:	 mIoU 0.5727
27/06/2024 11:02:38 - 0223:	 - train_loss: 0.906663:	 - test_loss: 0.824982:	 mIoU 0.5747
27/06/2024 11:51:07 - 0232:	 - train_loss: 0.905776:	 - test_loss: 0.831074:	 mIoU 0.5748
27/06/2024 12:24:53 - 0239:	 - train_loss: 0.911773:	 - test_loss: 0.830567:	 mIoU 0.5758
27/06/2024 12:30:04 - 0240:	 - train_loss: 0.911145:	 - test_loss: 0.827032:	 mIoU 0.5780
27/06/2024 15:16:28 - 0272:	 - train_loss: 0.909372:	 - test_loss: 0.823897:	 mIoU 0.5783
27/06/2024 15:47:48 - 0278:	 - train_loss: 0.904083:	 - test_loss: 0.825938:	 mIoU 0.5829
27/06/2024 19:27:29 - 0320:	 - train_loss: 0.901507:	 - test_loss: 0.824108:	 mIoU 0.5835
27/06/2024 19:48:04 - 0324:	 - train_loss: 0.902024:	 - test_loss: 0.822455:	 mIoU 0.5872
